formula,mass,charge,description,chemical_class,alucone_relevance
H4Al2+,57.993829000000005,positive,Molecular ion,Aluminum,High
[H5Al2-H]+,57.993829000000005,positive,Hydrogen loss,Aluminum,High
H4Al2-,57.994927000000004,negative,Molecular anion,Aluminum,High
[H5Al2-H]-,57.994927000000004,negative,Deprotonated,Aluminum,High
[CH2OAl+H]+,57.999379999999995,positive,Protonated,Al-organic_hybrid,High
CH3OAl+,57.99938,positive,Molecular ion,Al-organic_hybrid,High
[CH4OAl-H]+,57.99938000000001,positive,Hydrogen loss,Al-organic_hybrid,High
CH3OAl-,58.000478,negative,Molecular anion,Al-organic_hybrid,High
[CH4OAl-H]-,58.00047800000001,negative,Deprotonated,Al-organic_hybrid,High
[C2H6Al+H]+,58.035765,positive,Protonated,Al-organic_hybrid,High
C2H7Al+,58.035765000000005,positive,Molecular ion,Al-organic_hybrid,High
[C2H8Al-H]+,58.035765000000005,positive,Hydrogen loss,Al-organic_hybrid,High
C2H7Al-,58.036863000000004,negative,Molecular anion,Al-organic_hybrid,High
[C2H8Al-H]-,58.036863000000004,negative,Deprotonated,Al-organic_hybrid,High
[H14OAl+H]+,58.09328,positive,Protonated,Aluminum_oxide,High
H15OAl+,58.09328,positive,Molecular ion,Aluminum_oxide,High
[H16OAl-H]+,58.09328,positive,Hydrogen loss,Aluminum_oxide,High
H15OAl-,58.094378,negative,Molecular anion,Aluminum_oxide,High
[H16OAl-H]-,58.094378,negative,Deprotonated,Aluminum_oxide,High
[CH18Al+H]+,58.129664999999996,positive,Protonated,Al-organic_hybrid,High
CH19Al+,58.129665,positive,Molecular ion,Al-organic_hybrid,High
[CH20Al-H]+,58.12966500000001,positive,Hydrogen loss,Al-organic_hybrid,High
CH19Al-,58.130763,negative,Molecular anion,Al-organic_hybrid,High
[CH20Al-H]-,58.13076300000001,negative,Deprotonated,Al-organic_hybrid,High
[H30Al+H]+,58.223565,positive,Protonated,Aluminum,High
H31Al+,58.223565,positive,Molecular ion,Aluminum,High
[H32Al-H]+,58.223565,positive,Hydrogen loss,Aluminum,High
H31Al-,58.224663,negative,Molecular anion,Aluminum,High
[H32Al-H]-,58.224663,negative,Deprotonated,Aluminum,High
O2Al+,58.97082,positive,Molecular ion,Aluminum_oxide,High
[HO2Al-H]+,58.97082000000001,positive,Hydrogen loss,Aluminum_oxide,High
O2Al-,58.971918,negative,Molecular anion,Aluminum_oxide,High
[HO2Al-H]-,58.97191800000001,negative,Deprotonated,Aluminum_oxide,High
[H4Al2+H]+,59.001654,positive,Protonated,Aluminum,High
H5Al2+,59.001654,positive,Molecular ion,Aluminum,High
[H6Al2-H]+,59.00165400000001,positive,Hydrogen loss,Aluminum,High
H5Al2-,59.002752,negative,Molecular anion,Aluminum,High
[H6Al2-H]-,59.00275200000001,negative,Deprotonated,Aluminum,High
[CH3OAl+H]+,59.007205,positive,Protonated,Al-organic_hybrid,High
CH4OAl+,59.007205000000006,positive,Molecular ion,Al-organic_hybrid,High
[CH5OAl-H]+,59.007205000000006,positive,Hydrogen loss,Al-organic_hybrid,High
CH4OAl-,59.008303000000005,negative,Molecular anion,Al-organic_hybrid,High
[CH5OAl-H]-,59.008303000000005,negative,Deprotonated,Al-organic_hybrid,High
[C2H7Al+H]+,59.04359,positive,Protonated,Al-organic_hybrid,High
C2H8Al+,59.04359,positive,Molecular ion,Al-organic_hybrid,High
[C2H9Al-H]+,59.04359,positive,Hydrogen loss,Al-organic_hybrid,High
C2H8Al-,59.044688,negative,Molecular anion,Al-organic_hybrid,High
[C2H9Al-H]-,59.044688,negative,Deprotonated,Al-organic_hybrid,High
[H15OAl+H]+,59.101105,positive,Protonated,Aluminum_oxide,High
H16OAl+,59.101105,positive,Molecular ion,Aluminum_oxide,High
[H17OAl-H]+,59.10110500000001,positive,Hydrogen loss,Aluminum_oxide,High
H16OAl-,59.102202999999996,negative,Molecular anion,Aluminum_oxide,High
[H17OAl-H]-,59.10220300000001,negative,Deprotonated,Aluminum_oxide,High
[CH19Al+H]+,59.13749,positive,Protonated,Al-organic_hybrid,High
CH20Al+,59.13749000000001,positive,Molecular ion,Al-organic_hybrid,High
[CH21Al-H]+,59.13749000000001,positive,Hydrogen loss,Al-organic_hybrid,High
CH20Al-,59.138588000000006,negative,Molecular anion,Al-organic_hybrid,High
[CH21Al-H]-,59.138588000000006,negative,Deprotonated,Al-organic_hybrid,High
[H31Al+H]+,59.23139,positive,Protonated,Aluminum,High
H32Al+,59.23139,positive,Molecular ion,Aluminum,High
[H33Al-H]+,59.23139,positive,Hydrogen loss,Aluminum,High
H32Al-,59.232488,negative,Molecular anion,Aluminum,High
[H33Al-H]-,59.232488,negative,Deprotonated,Aluminum,High
[O2Al+H]+,59.978645,positive,Protonated,Aluminum_oxide,High
HO2Al+,59.97864500000001,positive,Molecular ion,Aluminum_oxide,High
[H2O2Al-H]+,59.97864500000001,positive,Hydrogen loss,Aluminum_oxide,High
HO2Al-,59.979743000000006,negative,Molecular anion,Aluminum_oxide,High
[H2O2Al-H]-,59.979743000000006,negative,Deprotonated,Aluminum_oxide,High
[H5Al2+H]+,60.009479,positive,Protonated,Aluminum,High
H6Al2+,60.009479000000006,positive,Molecular ion,Aluminum,High
[H7Al2-H]+,60.009479000000006,positive,Hydrogen loss,Aluminum,High
H6Al2-,60.010577000000005,negative,Molecular anion,Aluminum,High
[H7Al2-H]-,60.010577000000005,negative,Deprotonated,Aluminum,High
[CH4OAl+H]+,60.01503,positive,Protonated,Al-organic_hybrid,High
CH5OAl+,60.01503,positive,Molecular ion,Al-organic_hybrid,High
[CH6OAl-H]+,60.01503,positive,Hydrogen loss,Al-organic_hybrid,High
CH5OAl-,60.016128,negative,Molecular anion,Al-organic_hybrid,High
[CH6OAl-H]-,60.016128,negative,Deprotonated,Al-organic_hybrid,High
[C2H8Al+H]+,60.051415,positive,Protonated,Al-organic_hybrid,High
C2H9Al+,60.051415,positive,Molecular ion,Al-organic_hybrid,High
[C2H10Al-H]+,60.051415,positive,Hydrogen loss,Al-organic_hybrid,High
C2H9Al-,60.052513,negative,Molecular anion,Al-organic_hybrid,High
[C2H10Al-H]-,60.052513,negative,Deprotonated,Al-organic_hybrid,High
[H16OAl+H]+,60.108929999999994,positive,Protonated,Aluminum_oxide,High
H17OAl+,60.10893000000001,positive,Molecular ion,Aluminum_oxide,High
[H18OAl-H]+,60.10893000000001,positive,Hydrogen loss,Aluminum_oxide,High
H17OAl-,60.11002800000001,negative,Molecular anion,Aluminum_oxide,High
[H18OAl-H]-,60.11002800000001,negative,Deprotonated,Aluminum_oxide,High
[CH20Al+H]+,60.145315000000004,positive,Protonated,Al-organic_hybrid,High
CH21Al+,60.145315000000004,positive,Molecular ion,Al-organic_hybrid,High
[CH22Al-H]+,60.145315000000004,positive,Hydrogen loss,Al-organic_hybrid,High
CH21Al-,60.146413,negative,Molecular anion,Al-organic_hybrid,High
[CH22Al-H]-,60.146413,negative,Deprotonated,Al-organic_hybrid,High
[H32Al+H]+,60.239214999999994,positive,Protonated,Aluminum,High
H33Al+,60.239214999999994,positive,Molecular ion,Aluminum,High
[H34Al-H]+,60.23921500000001,positive,Hydrogen loss,Aluminum,High
H33Al-,60.24031299999999,negative,Molecular anion,Aluminum,High
[H34Al-H]-,60.24031300000001,negative,Deprotonated,Aluminum,High
[HO2Al+H]+,60.986470000000004,positive,Protonated,Aluminum_oxide,High
H2O2Al+,60.986470000000004,positive,Molecular ion,Aluminum_oxide,High
[H3O2Al-H]+,60.986470000000004,positive,Hydrogen loss,Aluminum_oxide,High
H2O2Al-,60.987568,negative,Molecular anion,Aluminum_oxide,High
[H3O2Al-H]-,60.987568,negative,Deprotonated,Aluminum_oxide,High
[H6Al2+H]+,61.017304,positive,Protonated,Aluminum,High
H7Al2+,61.017304,positive,Molecular ion,Aluminum,High
[H8Al2-H]+,61.017304,positive,Hydrogen loss,Aluminum,High
H7Al2-,61.018402,negative,Molecular anion,Aluminum,High
[H8Al2-H]-,61.018402,negative,Deprotonated,Aluminum,High
[CH5OAl+H]+,61.022855,positive,Protonated,Al-organic_hybrid,High
CH6OAl+,61.022855,positive,Molecular ion,Al-organic_hybrid,High
[CH7OAl-H]+,61.022855,positive,Hydrogen loss,Al-organic_hybrid,High
CH6OAl-,61.023953,negative,Molecular anion,Al-organic_hybrid,High
[CH7OAl-H]-,61.023953,negative,Deprotonated,Al-organic_hybrid,High
[C2H9Al+H]+,61.059239999999996,positive,Protonated,Al-organic_hybrid,High
C2H10Al+,61.059239999999996,positive,Molecular ion,Al-organic_hybrid,High
[C2H11Al-H]+,61.05924000000001,positive,Hydrogen loss,Al-organic_hybrid,High
C2H10Al-,61.060337999999994,negative,Molecular anion,Al-organic_hybrid,High
[C2H11Al-H]-,61.06033800000001,negative,Deprotonated,Al-organic_hybrid,High
[H17OAl+H]+,61.116755000000005,positive,Protonated,Aluminum_oxide,High
H18OAl+,61.116755000000005,positive,Molecular ion,Aluminum_oxide,High
[H19OAl-H]+,61.116755000000005,positive,Hydrogen loss,Aluminum_oxide,High
H18OAl-,61.117853000000004,negative,Molecular anion,Aluminum_oxide,High
[H19OAl-H]-,61.117853000000004,negative,Deprotonated,Aluminum_oxide,High
[CH21Al+H]+,61.15314,positive,Protonated,Al-organic_hybrid,High
CH22Al+,61.15314,positive,Molecular ion,Al-organic_hybrid,High
[CH23Al-H]+,61.15314,positive,Hydrogen loss,Al-organic_hybrid,High
CH22Al-,61.154238,negative,Molecular anion,Al-organic_hybrid,High
[CH23Al-H]-,61.154238,negative,Deprotonated,Al-organic_hybrid,High
[H33Al+H]+,61.24703999999999,positive,Protonated,Aluminum,High
H34Al+,61.247040000000005,positive,Molecular ion,Aluminum,High
[H35Al-H]+,61.247040000000005,positive,Hydrogen loss,Aluminum,High
H34Al-,61.248138000000004,negative,Molecular anion,Aluminum,High
[H35Al-H]-,61.248138000000004,negative,Deprotonated,Aluminum,High
[H2O2Al+H]+,61.994295,positive,Protonated,Aluminum_oxide,High
H3O2Al+,61.994295,positive,Molecular ion,Aluminum_oxide,High
[H4O2Al-H]+,61.994295,positive,Hydrogen loss,Aluminum_oxide,High
H3O2Al-,61.995393,negative,Molecular anion,Aluminum_oxide,High
[H4O2Al-H]-,61.995393,negative,Deprotonated,Aluminum_oxide,High
[H7Al2+H]+,62.025129,positive,Protonated,Aluminum,High
H8Al2+,62.025129,positive,Molecular ion,Aluminum,High
[H9Al2-H]+,62.02512900000001,positive,Hydrogen loss,Aluminum,High
H8Al2-,62.026227,negative,Molecular anion,Aluminum,High
[H9Al2-H]-,62.026227000000006,negative,Deprotonated,Aluminum,High
[CH6OAl+H]+,62.03068,positive,Protonated,Al-organic_hybrid,High
CH7OAl+,62.03068,positive,Molecular ion,Al-organic_hybrid,High
[CH8OAl-H]+,62.03068000000001,positive,Hydrogen loss,Al-organic_hybrid,High
CH7OAl-,62.031777999999996,negative,Molecular anion,Al-organic_hybrid,High
[CH8OAl-H]-,62.03177800000001,negative,Deprotonated,Al-organic_hybrid,High
[C2H10Al+H]+,62.06706499999999,positive,Protonated,Al-organic_hybrid,High
C2H11Al+,62.06706500000001,positive,Molecular ion,Al-organic_hybrid,High
[C2H12Al-H]+,62.06706500000001,positive,Hydrogen loss,Al-organic_hybrid,High
C2H11Al-,62.068163000000006,negative,Molecular anion,Al-organic_hybrid,High
[C2H12Al-H]-,62.068163000000006,negative,Deprotonated,Al-organic_hybrid,High
[H18OAl+H]+,62.12458,positive,Protonated,Aluminum_oxide,High
H19OAl+,62.12458,positive,Molecular ion,Aluminum_oxide,High
[H20OAl-H]+,62.12458,positive,Hydrogen loss,Aluminum_oxide,High
H19OAl-,62.125678,negative,Molecular anion,Aluminum_oxide,High
[H20OAl-H]-,62.125678,negative,Deprotonated,Aluminum_oxide,High
[CH22Al+H]+,62.160965,positive,Protonated,Al-organic_hybrid,High
CH23Al+,62.160965,positive,Molecular ion,Al-organic_hybrid,High
[CH24Al-H]+,62.160965,positive,Hydrogen loss,Al-organic_hybrid,High
CH23Al-,62.162062999999996,negative,Molecular anion,Al-organic_hybrid,High
[CH24Al-H]-,62.162062999999996,negative,Deprotonated,Al-organic_hybrid,High
[H34Al+H]+,62.254865,positive,Protonated,Aluminum,High
H35Al+,62.254865,positive,Molecular ion,Aluminum,High
[H36Al-H]+,62.254865,positive,Hydrogen loss,Aluminum,High
H35Al-,62.255963,negative,Molecular anion,Aluminum,High
[H36Al-H]-,62.255963,negative,Deprotonated,Aluminum,High
C3Al+,62.98099,positive,Molecular ion,Al-organic_hybrid,High
[C3HAl-H]+,62.98099,positive,Hydrogen loss,Al-organic_hybrid,High
C3Al-,62.982088,negative,Molecular anion,Al-organic_hybrid,High
[C3HAl-H]-,62.982088,negative,Deprotonated,Al-organic_hybrid,High
[H3O2Al+H]+,63.00212,positive,Protonated,Aluminum_oxide,High
H4O2Al+,63.00212,positive,Molecular ion,Aluminum_oxide,High
[H5O2Al-H]+,63.00212000000001,positive,Hydrogen loss,Aluminum_oxide,High
H4O2Al-,63.003218,negative,Molecular anion,Aluminum_oxide,High
[H5O2Al-H]-,63.00321800000001,negative,Deprotonated,Aluminum_oxide,High
[H8Al2+H]+,63.032954,positive,Protonated,Aluminum,High
H9Al2+,63.032954000000004,positive,Molecular ion,Aluminum,High
[H10Al2-H]+,63.03295400000001,positive,Hydrogen loss,Aluminum,High
H9Al2-,63.034052,negative,Molecular anion,Aluminum,High
[H10Al2-H]-,63.03405200000001,negative,Deprotonated,Aluminum,High
[CH7OAl+H]+,63.038504999999994,positive,Protonated,Al-organic_hybrid,High
CH8OAl+,63.03850500000001,positive,Molecular ion,Al-organic_hybrid,High
[CH9OAl-H]+,63.03850500000001,positive,Hydrogen loss,Al-organic_hybrid,High
CH8OAl-,63.03960300000001,negative,Molecular anion,Al-organic_hybrid,High
[CH9OAl-H]-,63.03960300000001,negative,Deprotonated,Al-organic_hybrid,High
[C2H11Al+H]+,63.07489,positive,Protonated,Al-organic_hybrid,High
C2H12Al+,63.07489,positive,Molecular ion,Al-organic_hybrid,High
[C2H13Al-H]+,63.07489,positive,Hydrogen loss,Al-organic_hybrid,High
C2H12Al-,63.075988,negative,Molecular anion,Al-organic_hybrid,High
[C2H13Al-H]-,63.075988,negative,Deprotonated,Al-organic_hybrid,High
[H19OAl+H]+,63.132405,positive,Protonated,Aluminum_oxide,High
H20OAl+,63.132405,positive,Molecular ion,Aluminum_oxide,High
[H21OAl-H]+,63.132405,positive,Hydrogen loss,Aluminum_oxide,High
H20OAl-,63.133503,negative,Molecular anion,Aluminum_oxide,High
[H21OAl-H]-,63.133503,negative,Deprotonated,Aluminum_oxide,High
[CH23Al+H]+,63.168789999999994,positive,Protonated,Al-organic_hybrid,High
CH24Al+,63.168789999999994,positive,Molecular ion,Al-organic_hybrid,High
[CH25Al-H]+,63.16879000000001,positive,Hydrogen loss,Al-organic_hybrid,High
CH24Al-,63.16988799999999,negative,Molecular anion,Al-organic_hybrid,High
[CH25Al-H]-,63.16988800000001,negative,Deprotonated,Al-organic_hybrid,High
[H35Al+H]+,63.26269,positive,Protonated,Aluminum,High
H36Al+,63.26269,positive,Molecular ion,Aluminum,High
[H37Al-H]+,63.26269,positive,Hydrogen loss,Aluminum,High
H36Al-,63.263788,negative,Molecular anion,Aluminum,High
[H37Al-H]-,63.263788,negative,Deprotonated,Aluminum,High
[C3Al+H]+,63.988814999999995,positive,Protonated,Al-organic_hybrid,High
C3HAl+,63.988814999999995,positive,Molecular ion,Al-organic_hybrid,High
[C3H2Al-H]+,63.98881500000001,positive,Hydrogen loss,Al-organic_hybrid,High
C3HAl-,63.989912999999994,negative,Molecular anion,Al-organic_hybrid,High
[C3H2Al-H]-,63.98991300000001,negative,Deprotonated,Al-organic_hybrid,High
[H4O2Al+H]+,64.00994499999999,positive,Protonated,Aluminum_oxide,High
H5O2Al+,64.009945,positive,Molecular ion,Aluminum_oxide,High
[H6O2Al-H]+,64.009945,positive,Hydrogen loss,Aluminum_oxide,High
H5O2Al-,64.01104300000002,negative,Molecular anion,Aluminum_oxide,High
[H6O2Al-H]-,64.01104300000002,negative,Deprotonated,Aluminum_oxide,High
[H9Al2+H]+,64.040779,positive,Protonated,Aluminum,High
H10Al2+,64.040779,positive,Molecular ion,Aluminum,High
[H11Al2-H]+,64.040779,positive,Hydrogen loss,Aluminum,High
H10Al2-,64.04187700000001,negative,Molecular anion,Aluminum,High
[H11Al2-H]-,64.04187700000001,negative,Deprotonated,Aluminum,High
[CH8OAl+H]+,64.04633,positive,Protonated,Al-organic_hybrid,High
CH9OAl+,64.04633,positive,Molecular ion,Al-organic_hybrid,High
[CH10OAl-H]+,64.04633,positive,Hydrogen loss,Al-organic_hybrid,High
CH9OAl-,64.04742800000001,negative,Molecular anion,Al-organic_hybrid,High
[CH10OAl-H]-,64.04742800000001,negative,Deprotonated,Al-organic_hybrid,High
[C2H12Al+H]+,64.082715,positive,Protonated,Al-organic_hybrid,High
C2H13Al+,64.082715,positive,Molecular ion,Al-organic_hybrid,High
[C2H14Al-H]+,64.082715,positive,Hydrogen loss,Al-organic_hybrid,High
C2H13Al-,64.083813,negative,Molecular anion,Al-organic_hybrid,High
[C2H14Al-H]-,64.083813,negative,Deprotonated,Al-organic_hybrid,High
[H20OAl+H]+,64.14022999999999,positive,Protonated,Aluminum_oxide,High
H21OAl+,64.14022999999999,positive,Molecular ion,Aluminum_oxide,High
[H22OAl-H]+,64.14023,positive,Hydrogen loss,Aluminum_oxide,High
H21OAl-,64.141328,negative,Molecular anion,Aluminum_oxide,High
[H22OAl-H]-,64.14132800000002,negative,Deprotonated,Aluminum_oxide,High
[CH24Al+H]+,64.17661499999998,positive,Protonated,Al-organic_hybrid,High
CH25Al+,64.176615,positive,Molecular ion,Al-organic_hybrid,High
[CH26Al-H]+,64.176615,positive,Hydrogen loss,Al-organic_hybrid,High
CH25Al-,64.17771300000001,negative,Molecular anion,Al-organic_hybrid,High
[CH26Al-H]-,64.17771300000001,negative,Deprotonated,Al-organic_hybrid,High
[H36Al+H]+,64.27051499999999,positive,Protonated,Aluminum,High
H37Al+,64.27051499999999,positive,Molecular ion,Aluminum,High
[H38Al-H]+,64.270515,positive,Hydrogen loss,Aluminum,High
H37Al-,64.271613,negative,Molecular anion,Aluminum,High
[H38Al-H]-,64.27161300000002,negative,Deprotonated,Aluminum,High
[C3HAl+H]+,64.99663999999999,positive,Protonated,Al-organic_hybrid,High
C3H2Al+,64.99664,positive,Molecular ion,Al-organic_hybrid,High
[C3H3Al-H]+,64.99664,positive,Hydrogen loss,Al-organic_hybrid,High
C3H2Al-,64.99773800000001,negative,Molecular anion,Al-organic_hybrid,High
[C3H3Al-H]-,64.99773800000001,negative,Deprotonated,Al-organic_hybrid,High
[H5O2Al+H]+,65.01777,positive,Protonated,Aluminum_oxide,High
H6O2Al+,65.01777,positive,Molecular ion,Aluminum_oxide,High
[H7O2Al-H]+,65.01777,positive,Hydrogen loss,Aluminum_oxide,High
H6O2Al-,65.01886800000001,negative,Molecular anion,Aluminum_oxide,High
[H7O2Al-H]-,65.01886800000001,negative,Deprotonated,Aluminum_oxide,High
[H10Al2+H]+,65.048604,positive,Protonated,Aluminum,High
H11Al2+,65.048604,positive,Molecular ion,Aluminum,High
[H12Al2-H]+,65.048604,positive,Hydrogen loss,Aluminum,High
H11Al2-,65.04970200000001,negative,Molecular anion,Aluminum,High
[H12Al2-H]-,65.04970200000001,negative,Deprotonated,Aluminum,High
[CH9OAl+H]+,65.054155,positive,Protonated,Al-organic_hybrid,High
CH10OAl+,65.054155,positive,Molecular ion,Al-organic_hybrid,High
[CH11OAl-H]+,65.054155,positive,Hydrogen loss,Al-organic_hybrid,High
CH10OAl-,65.05525300000001,negative,Molecular anion,Al-organic_hybrid,High
[CH11OAl-H]-,65.05525300000001,negative,Deprotonated,Al-organic_hybrid,High
[C2H13Al+H]+,65.09053999999999,positive,Protonated,Al-organic_hybrid,High
C2H14Al+,65.09053999999999,positive,Molecular ion,Al-organic_hybrid,High
[C2H15Al-H]+,65.09053999999999,positive,Hydrogen loss,Al-organic_hybrid,High
C2H14Al-,65.091638,negative,Molecular anion,Al-organic_hybrid,High
[C2H15Al-H]-,65.091638,negative,Deprotonated,Al-organic_hybrid,High
[H21OAl+H]+,65.14805499999999,positive,Protonated,Aluminum_oxide,High
H22OAl+,65.148055,positive,Molecular ion,Aluminum_oxide,High
[H23OAl-H]+,65.148055,positive,Hydrogen loss,Aluminum_oxide,High
H22OAl-,65.14915300000001,negative,Molecular anion,Aluminum_oxide,High
[H23OAl-H]-,65.14915300000001,negative,Deprotonated,Aluminum_oxide,High
[CH25Al+H]+,65.18444,positive,Protonated,Al-organic_hybrid,High
CH26Al+,65.18444,positive,Molecular ion,Al-organic_hybrid,High
[CH27Al-H]+,65.18444,positive,Hydrogen loss,Al-organic_hybrid,High
CH26Al-,65.18553800000001,negative,Molecular anion,Al-organic_hybrid,High
[CH27Al-H]-,65.18553800000001,negative,Deprotonated,Al-organic_hybrid,High
[H37Al+H]+,65.27833999999999,positive,Protonated,Aluminum,High
H38Al+,65.27834,positive,Molecular ion,Aluminum,High
[H39Al-H]+,65.27834,positive,Hydrogen loss,Aluminum,High
H38Al-,65.27943800000001,negative,Molecular anion,Aluminum,High
[H39Al-H]-,65.27943800000001,negative,Deprotonated,Aluminum,High
CAl2+,65.96252899999999,positive,Molecular ion,Al-organic_hybrid,High
[CHAl2-H]+,65.962529,positive,Hydrogen loss,Al-organic_hybrid,High
CAl2-,65.963627,negative,Molecular anion,Al-organic_hybrid,High
[CHAl2-H]-,65.96362700000002,negative,Deprotonated,Al-organic_hybrid,High
